time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2023-05-14 00:00,2023-05-14 07:00,Unknown UAV,,Ukraine,,4,4,kpszsu/posts/pfbid0ggY2Z7ZfGX3HkG9ND9FSPDshugXSVfaqnFFT8HBbAnSnLDTy2LmYZoA8g6djA4T2l
2023-05-14 00:00,2023-05-14 07:00,X-101/X-555,,Ukraine,Tu-95MS,3,3,kpszsu/posts/pfbid0ggY2Z7ZfGX3HkG9ND9FSPDshugXSVfaqnFFT8HBbAnSnLDTy2LmYZoA8g6djA4T2l
2023-05-14,2023-05-14 18:00,Orlan-10,,Kherson oblast,,2,2,kpszsu/posts/pfbid0a2UgLgaMV4SPdjxWkgsU3SXXNBTa6rzC4rn45idBTtt2NJ6KuyaPa3vLB8doRWWzl
2023-05-14,2023-05-14 18:00,ZALA,,Kherson oblast,,1,1,kpszsu/posts/pfbid0a2UgLgaMV4SPdjxWkgsU3SXXNBTa6rzC4rn45idBTtt2NJ6KuyaPa3vLB8doRWWzl
2023-05-14,2023-05-14 23:50,Orlan-10,,north-east,,1,1,kpszsu/posts/pfbid02Urb3RsjU76zqBppZ8vHA43QwWd66Xxzx5GTJ4hmUMTgH3b7RdfjjVQKzK6df4ceel
2023-05-14,2023-05-14 23:50,Shahed-136/131,,north-east,,4,4,kpszsu/posts/pfbid02Urb3RsjU76zqBppZ8vHA43QwWd66Xxzx5GTJ4hmUMTgH3b7RdfjjVQKzK6df4ceel
2023-05-15,2023-05-15 17:00,Orlan-10,,Kherson oblast,,1,1,PvKPivden/posts/pfbid021X5JSJrLCUWQVfhiKYm923GviXASAAb4F3ab4ECEQP8ZtCu1GwwtgVDtsiNvsjBul
2023-05-15,2023-05-15 17:00,Lancet,,Kherson oblast,,2,2,PvKPivden/posts/pfbid021X5JSJrLCUWQVfhiKYm923GviXASAAb4F3ab4ECEQP8ZtCu1GwwtgVDtsiNvsjBul
2023-05-15,2023-05-15 17:00,Supercam,,Kherson oblast,,1,1,PvKPivden/posts/pfbid021X5JSJrLCUWQVfhiKYm923GviXASAAb4F3ab4ECEQP8ZtCu1GwwtgVDtsiNvsjBul
2023-05-16 3:30,2023-05-16 07:00,X-47 Kinzhal,,Ukraine,6 x MiG-31K,6,6,kpszsu/posts/pfbid0ghJSYEmPHYu24PRkc5KdmSjCofS1FQ4LdgmkxBZYkx7ht35UYavurH74MG2fibBrl
